,US_M2_USD,dff,^GSPC,gini_coefficient
2005-11-01,6661500.0,3.99,1202.760009765625,0.5097418529860632
2005-12-01,6715100.0,4.03,1264.6700439453125,0.5104187119752139
2006-01-01,6713200.0,4.09,1268.800048828125,0.511688846391729
2006-02-01,6730600.0,4.47,1282.4599609375,0.5113296548619952
2006-03-01,6803400.0,4.52,1291.239990234375,0.5109608894420171
2006-04-01,6867000.0,5.0,1297.81005859375,0.5114654859111966
2006-05-01,6805400.0,4.84,1305.18994140625,0.5118282343392572
2006-06-01,6859200.0,5.02,1285.7099609375,0.5127062233078274
2006-07-01,6881200.0,5.05,1280.18994140625,0.512976663237781
2006-08-01,6900500.0,5.27,1270.9200439453125,0.5132855125392429
2006-09-01,6928100.0,5.25,1311.010009765625,0.513847084897653
2006-10-01,6971000.0,5.34,1331.3199462890625,0.5131669547349783
2006-11-01,7033900.0,5.23,1367.81005859375,0.5131046152264628
2006-12-01,7108900.0,5.27,1396.7099609375,0.5131513338222388
2007-01-01,7107200.0,5.17,1416.5999755859375,0.5116807678277261
2007-02-01,7119000.0,5.29,1445.93994140625,0.5118773707538513
2007-03-01,7217100.0,5.31,1403.1700439453125,0.5127179116743246
2007-04-01,7306200.0,5.3,1424.550048828125,0.5142052225626956
2007-05-01,7250400.0,5.26,1486.300048828125,0.5155247094895917
2007-06-01,7294500.0,5.23,1536.3399658203125,0.5154705713226172
2007-07-01,7297900.0,5.31,1519.4300537109375,0.5153871834950872
2007-08-01,7357100.0,5.3,1465.81005859375,0.5147803117875474
2007-09-01,7377700.0,4.96,1489.4200439453125,0.5150795931951514
2007-10-01,7389600.0,4.92,1547.0400390625,0.516530985926995
2007-11-01,7448700.0,4.59,1508.43994140625,0.515277127597024
2007-12-01,7516800.0,4.66,1472.4200439453125,0.5151957163523426
2008-01-01,7515000.0,3.06,1447.1600341796875,0.5152885126852889
2008-02-01,7599000.0,3.12,1395.4200439453125,0.5147747466362046
2008-03-01,7733600.0,3.01,1331.3399658203125,0.5139971033776375
2008-04-01,7781200.0,2.38,1370.1800537109375,0.5137153481779875
2008-05-01,7723300.0,2.16,1409.3399658203125,0.5151427772208992
2008-06-01,7746800.0,1.98,1385.6700439453125,0.5154768207887499
2008-07-01,7760900.0,2.11,1284.9100341796875,0.5150261545370424
2008-08-01,7758500.0,2.04,1260.31005859375,0.5155996456335034
2008-09-01,7828800.0,1.94,1277.5799560546875,0.5160219534726209
2008-10-01,7932000.0,1.15,1161.06005859375,0.5150277682171132
2008-11-01,8024000.0,0.22,966.2999877929688,0.5156300234052863
2008-12-01,8244400.0,0.52,816.2100219726562,0.516254572557084
2009-01-01,8292300.0,0.14,931.7999877929688,0.5169557261485678
2009-02-01,8321900.0,0.23,825.4400024414062,0.5169951275854355
2009-03-01,8458900.0,0.22,700.8200073242188,0.5168990575876822
2009-04-01,8460100.0,0.16,811.0800170898438,0.5176109238982597
2009-05-01,8447200.0,0.22,877.52001953125,0.5178913443285219
2009-06-01,8460200.0,0.21,942.8699951171875,0.5181602001652074
2009-07-01,8426000.0,0.2,923.3300170898438,0.5194719341341649
2009-08-01,8404800.0,0.18,1002.6300048828125,0.5193568409182762
2009-09-01,8412500.0,0.15,998.0399780273438,0.5206462789095428
2009-10-01,8443300.0,0.11,1029.8499755859375,0.5205856092411222
2009-11-01,8517500.0,0.11,1042.8800048828125,0.5199694402051201
2009-12-01,8560300.0,0.13,1108.8599853515625,0.5203614052144818
2010-01-01,8484500.0,0.05,1132.989990234375,0.5218748928106436
2010-02-01,8528900.0,0.14,1089.18994140625,0.5243338313454534
2010-03-01,8596300.0,0.14,1115.7099609375,0.5235396485289467
2010-04-01,8621800.0,0.17,1178.0999755859375,0.5244327864447852
2010-05-01,8603300.0,0.2,1202.260009765625,0.5243552599629142
2010-06-01,8625600.0,0.2,1070.7099609375,0.5262277929683673
2010-07-01,8597700.0,0.17,1027.3699951171875,0.5265469439292911
2010-08-01,8626600.0,0.18,1125.8599853515625,0.5271246717927549
2010-09-01,8668200.0,0.19,1080.2900390625,0.5272452721161054
2010-10-01,8729500.0,0.2,1146.239990234375,0.5286120996471527
